STATENAME,MONTHNAME,HOUR,LGT_CONDNAME,,FATALS
Alabama,March,10,Daylight,,3
Alabama,March,20,Dusk,,1
Alabama,March,6,Dark - Not Lighted,,1
Alabama,March,19,Dark - Unknown Lighting,,1
Alabama,March,8,Daylight,,2
Alabama,March,16,Daylight,,1
Alabama,March,9,Daylight,,1
Alabama,March,19,Dark - Not Lighted,,1
Alabama,March,23,Dark - Not Lighted,,1
Alabama,March,0,Dark - Not Lighted,,1
Alabama,March,6,Daylight,,1
Alabama,March,19,Dark - Not Lighted,,1
Alabama,March,0,Dark - Not Lighted,,1
Alabama,March,3,Dark - Not Lighted,,1
Alabama,March,5,Dark - Not Lighted,,1
Alabama,March,2,Dark - Not Lighted,,1
Alabama,March,23,Dark - Lighted,,1
Alabama,March,5,Dark - Not Lighted,,1
Alabama,March,10,Daylight,,1
Alabama,March,22,Dark - Lighted,,1
Alabama,March,21,Dark - Unknown Lighting,,1
Alabama,March,12,Daylight,,1
Alabama,April,8,Daylight,,1
Alabama,April,7,Daylight,,3
Alabama,April,20,Dark - Lighted,,1
Alabama,April,19,Dark - Not Lighted,,1
Alabama,April,21,Dark - Not Lighted,,1
Alabama,April,16,Daylight,,1
Alabama,April,20,Dark - Not Lighted,,1
Alabama,April,3,Dark - Not Lighted,,1
Alabama,April,20,Dark - Not Lighted,,1
Alabama,April,1,Dark - Not Lighted,,1
Alabama,April,12,Daylight,,1
Alabama,April,2,Dark - Unknown Lighting,,1
Alabama,April,23,Dark - Not Lighted,,1
Alabama,April,22,Dark - Lighted,,1
Alabama,April,20,Dark - Not Lighted,,1
Alabama,April,12,Daylight,,1
Alabama,April,5,Dawn,,1
Alabama,April,6,Daylight,,1
Alabama,March,12,Daylight,,2
Alabama,March,5,Dark - Lighted,,1
Alabama,March,19,Daylight,,1
Alabama,March,18,Daylight,,4
Alabama,March,3,Dark - Not Lighted,,1
Alabama,April,16,Daylight,,1
Alabama,April,17,Daylight,,2
Alabama,March,16,Daylight,,1
Alabama,March,6,Daylight,,1
Alabama,February,20,Dark - Not Lighted,,1
Alabama,February,16,Daylight,,1
Alabama,February,8,Daylight,,1
Alabama,January,4,Dark - Not Lighted,,1
Alabama,February,18,Dark - Lighted,,1
Alabama,February,18,Dusk,,1
Alabama,March,12,Daylight,,1
Alabama,March,16,Daylight,,1
Alabama,April,15,Daylight,,1
Alabama,April,17,Daylight,,1
Alabama,April,16,Daylight,,1
Alabama,April,12,Daylight,,1
Alabama,April,0,Dark - Not Lighted,,1
Alabama,April,1,Dark - Not Lighted,,1
Alabama,April,14,Daylight,,1
Alabama,April,3,Dark - Lighted,,1
Alabama,May,13,Daylight,,1
Alabama,April,14,Daylight,,2
Alabama,April,20,Dark - Not Lighted,,2
Alabama,April,18,Daylight,,1
Alabama,April,23,Dark - Not Lighted,,1
Alabama,April,22,Dark - Lighted,,1
Alabama,April,14,Daylight,,1
Alabama,April,17,Dusk,,2
Alabama,April,22,Dark - Not Lighted,,1
Alabama,April,19,Dark - Not Lighted,,1
Alabama,April,22,Dark - Not Lighted,,2
Alabama,April,22,Dark - Lighted,,1
Alabama,April,22,Dark - Not Lighted,,1
Alabama,April,11,Daylight,,1
Alabama,April,11,Daylight,,1
Alabama,April,15,Daylight,,1
Alabama,April,7,Daylight,,1
Alabama,April,15,Daylight,,1
Alabama,April,3,Dark - Not Lighted,,1
Alabama,April,15,Daylight,,1
Alabama,April,18,Daylight,,1
Alabama,April,16,Daylight,,1
Alabama,April,12,Daylight,,1
Alabama,April,18,Dark - Not Lighted,,1
Alabama,April,16,Daylight,,1
Alabama,April,21,Dark - Not Lighted,,1
Alabama,April,18,Daylight,,1
Alabama,April,7,Daylight,,1
Alabama,April,5,Dark - Lighted,,1
Alabama,April,18,Daylight,,1
Alabama,April,16,Daylight,,1
Alabama,April,20,Dark - Lighted,,1
Alabama,April,22,Dark - Lighted,,1
Alabama,April,0,Dark - Lighted,,1
Alabama,April,12,Daylight,,1
Alabama,May,14,Daylight,,1
Alabama,May,8,Daylight,,1
Alabama,April,21,Dark - Not Lighted,,1
Alabama,April,9,Daylight,,1
Alabama,April,20,Dusk,,1
Alabama,April,19,Dark - Lighted,,1
Alabama,February,17,Dusk,,1
Alabama,May,6,Daylight,,1
Alabama,April,23,Dark - Unknown Lighting,,1
Alabama,April,19,Daylight,,1
Alabama,March,22,Dark - Lighted,,1
Alabama,March,22,Dark - Not Lighted,,1
Alabama,February,0,Dark - Lighted,,1
Alabama,April,17,Daylight,,2
Alabama,April,23,Dark - Lighted,,1
Alabama,May,2,Dark - Not Lighted,,1
Alabama,May,13,Daylight,,1
Alabama,May,21,Dark - Not Lighted,,1
Alabama,May,10,Daylight,,1
Alabama,May,19,Daylight,,1
Alabama,May,13,Daylight,,1
Alabama,May,15,Daylight,,1
Alabama,May,16,Daylight,,1
Alabama,June,21,Dark - Not Lighted,,1
Alabama,May,13,Daylight,,1
Alabama,May,9,Daylight,,1
Alabama,May,3,Dark - Not Lighted,,1
Alabama,May,15,Daylight,,1
Alabama,May,4,Dark - Not Lighted,,1
Alabama,May,18,Daylight,,1
Alabama,May,12,Daylight,,1
Alabama,May,17,Daylight,,1
Alabama,May,23,Dark - Not Lighted,,1
Alabama,May,2,Dark - Not Lighted,,1
Alabama,May,16,Daylight,,1
Alabama,May,17,Daylight,,1
Alabama,May,16,Daylight,,1
Alabama,May,21,Dark - Not Lighted,,2
Alabama,May,14,Daylight,,2
Alabama,May,19,Daylight,,1
Alabama,May,21,Daylight,,1
Alabama,May,20,Dark - Not Lighted,,1
Alabama,May,5,Dark - Lighted,,1
Alabama,May,20,Dark - Lighted,,1
Alabama,May,21,Dark - Not Lighted,,1
Alabama,May,12,Daylight,,1
